NAME,TEL,ADDRESS,ZIP,LAT,LON
O'reilly William & Co Ltd,(212) 396-1822,52 E 76th St,10021,40.77380087,-73.96273075
Organization of Independent Artists - Gallery 402,(212) 219-9213,19 Hudson St.,10013,40.71646851,-74.00938579
Owen Gallery,(212) 879-2415,19 E 75th St,10021,40.77400085,-73.96435178
P P O W Gallerie,(212) 647-1044,511 W 25th St,10001,40.7495854,-74.00389261
P P O W Inc,(212) 941-8642,476 Broome St,10013,40.72290743,-74.0017639
P S 122 Gallery,(212) 228-4249,150 1st Ave,10009,40.72816774,-73.98437148
Pace Editions,(212) 645-9806,44 W 18th St,10011,40.73920195,-73.99437671
Pace MacGill Gallery,(212) 759-7999,32 E. 57th St.,10022,40.76194965,-73.97202175
Pace Prints & Primitive Gallery,(212) 421-3237,32 E. 57th St.,10022,40.76183647,-73.97211462
Pace Wildenstein,(212) 929-7000,534 W 25th St,10001,40.74944828,-74.00495118
Pace Wildenstein,(212) 421-3292,32 E 57th St,10022,40.76188607,-73.97207692
Paige's Art Gallery,(212) 531-1577,3163 Broadway,10027,40.8150007,-73.95927393
PaineWebber Gallery,(212) 713-2885,1285 Sixth Ave.,10019,40.76118894,-73.98058387
Paint Can Studios,(718) 937-7360,3608 34th St,11106,40.75515787,-73.92794008
Paley Barbara K,(212) 333-4747,1776 Broadway,10019,40.76637002,-73.98148007
Pall William Inc,(212) 758-3340,188 E 64th St,10021,40.76450874,-73.96481234
Palmer Meredith Gallery,(212) 828-9100,40 E 94th St,10128,40.78563342,-73.95482249
Pandora Old Masters,(212) 628-1974,212 E 70th St,10021,40.76789235,-73.96081641
Pardo Sheenan Galleries Ltd,(646) 935-0837,121 E 31st St,10016,40.7448961,-73.98156102
Parker's Box,(718) 388-2882,193 Grand St,11211,40.71430916,-73.96044471
Parsons Galleries,(212) 229-8987,2 W. 13th St.,10011,40.73539495,-73.99478186
Patricia Laligant Photographs,(212) 252-9922,150 W 28th St,10001,40.74676021,-73.99282055
Patrick's Gallery,(212) 741-7453,220 W 19th St,10011,40.74186878,-73.99851017
Paul Kasmin Gallery,(212) 563-4474,293 10th Ave,10001,40.75019275,-74.00272286
Paula Cooper Gallery,(212) 255-1105,534 W. 21st St.,10011,40.7469199,-74.00689773
Peck Ian Fine Paintings Ltd,(212) 396-2442,980 Madison Ave,10021,40.77476053,-73.96365013
Peder Bonnier Inc,(646) 638-0878,206 W 23rd St,10011,40.74405995,-73.99623914
Perimeter Gallery,(212) 675-1585,511 W 25th St,10001,40.74938125,-74.00389939
