NAME,ZIP,LON,LAT,ADDRESS
115th Street,10026,-73.95353074,40.80297988,203 West 115th Street
125th Street,10035,-73.93484756,40.80301816,224 East 125th Street
53rd Street,10019,-73.97736329,40.76080689,18 West 53rd Street
58th Street,10022,-73.9693817,40.76218602,127 East 58th Street
67th Street,10065,-73.95954995,40.76491501,328 East 67th Street
96th Street,10128,-73.95180567,40.7859598,112 East 96th Street
Aguilar,10029,-73.94345828,40.79421477,174 East 110th Street
Allerton,10467,-73.86322248,40.86680443,2740 Barnes Avenue
Andrew Heiskell Braille and Talking Book,10011,-73.99335691,40.74046546,40 West 20th Street
Battery Park City Library,10282,-74.01574871,40.71569087,175 North End Avenue
Baychester,10475,-73.82931595,40.87075331,2049 Asch Loop North
Belmont Library and Enrico Fermi Cultural Center,10458,-73.88788269,40.85434421,610 East 186th Street
Bloomingdale,10025,-73.96760677,40.79587355,150 West 100th Street
Bronx Library Center,10458,-73.89450289,40.86298061,310 East Kingsbridge Road
Castle Hill,10473,-73.8501702,40.82662921,947 Castle Hill Avenue
Chatham Square,10002,-73.99648987,40.71333307,33 East Broadway
City Island,10464,-73.78636659,40.8476919,320 City Island Avenue
Clason's Point,10472,-73.8750206,40.82999288,1215 Morrison Avenue
Columbus,10019,-73.99122082,40.76493462,742 10th Avenue
Countee Cullen,10030,-73.94116092,40.81483582,104 West 136th Street
Dongan Hills,10304,-74.10113729,40.59039134,1617 Richmond Road
Eastchester,10469,-73.84506428,40.8701397,1385 East Gun Hill Road
Edenwald,10466,-73.84083713,40.8888949,1255 East 233rd Street
Epiphany,10010,-73.98204889,40.73808712,228 East 23rd Street
Fort Washington,10033,-73.93386591,40.84787004,535 West 179th Street
Francis Martin,10453,-73.90931635,40.85742189,2150 University Avenue
George Bruce,10027,-73.95705321,40.81376896,518 West 125th Street
Grand Central,10017,-73.97356772,40.75406788,135 East 46th Street
Grand Concourse,10457,-73.91008714,40.84400191,155 East 173rd Street
Great Kills,10308,-74.15111164,40.55242326,56 Giffords Lane
Hamilton Fish Park,10002,-73.97942314,40.71978015,415 East Houston Street
Hamilton Grange,10031,-73.94803242,40.82567237,503 West 145th Street
Harlem,10027,-73.9433156,40.80616044,9 West 124th Street
High Bridge,10452,-73.9235509,40.83796002,78 West 168th Street
Hudson Park,10014,-74.00533101,40.72998291,66 Leroy Street
Huguenot Park,10312,-74.19322901,40.53407849,830 Huguenot Avenue
Hunts Point,10459,-73.89413217,40.81867009,877 Southern Boulevard
Inwood,10034,-73.92586291,40.86574872,4790 Broadway
Jefferson Market,10011,-73.99916929,40.73463471,425 Avenue of the Americas
Jerome Park,10468,-73.90119236,40.86906987,118 Eames Place
Kingsbridge,10463,-73.90770595,40.88069989,291 West 231st Street
Kips Bay,10016,-73.97990196,40.74380962,446 Third Avenue
Macomb's Bridge,10039,-73.93586246,40.82653201,2650 Adam Clayton Powell Jr. Boulevard
Mariners Harbor,10303,-74.16658191,40.63469343,206 South Ave
Melrose,10451,-73.91758394,40.82658456,910 Morris Avenue
Mid-Manhattan,10016,-73.98169851,40.75189156,455 Fifth Avenue
Morningside Heights,10025,-73.96477562,40.80613026,2900 Broadway
Morris Park,10462,-73.85695785,40.84802911,985 Morris Park Avenue
Morrisania,10456,-73.90179407,40.83126291,610 East 169th Street
